myindex,sum
20150116_CU,-3850.0
20150116_FG,1200.0
20150116_HC,0.0
20150116_I,-4850.0
20150116_J,750.0
20150116_JD,-815.0
20150116_JM,840.0
20150116_L,2050.0
20150116_M,-1030.0
20150116_MA,460.0
20150116_OI,-7660.0
20150116_PP,5310.0
20150116_RB,-2230.0
20150116_RM,-2910.0
20150116_RU,0.0
20150116_SR,-1730.0
20150116_TA,2880.0
20150116_YY,-4900.0
20150116_ZC,0.0
20150116_ZN,0.0
20150116_p,-3860.0
20150119_A,-2420.0
20150119_AG,3815.0
20150119_AL,-3100.0
20150119_AU,-2850.03
20150119_BU,1060.0
20150119_C,0.0
20150119_CF,2350.0
20150119_CS,-560.0
20150119_CU,-3250.0
20150119_FG,-720.0
20150119_HC,0.0
20150119_I,-5150.0
20150119_J,7450.0
20150119_JD,-2190.0
20150119_JM,-12120.0
20150119_L,275.0
20150119_M,5070.0
20150119_MA,-70.0
20150119_OI,-3060.0
20150119_PP,-540.0
20150119_RB,-1720.0
20150119_RM,-6120.0
20150119_RU,0.0
20150119_SR,5340.0
20150119_TA,390.0
20150119_YY,-9500.0
20150119_ZC,0.0
20150119_ZN,1275.0
20150119_p,8460.0
20150120_A,-470.0
20150120_AG,12885.0
20150120_AL,-1575.0
20150120_AU,37250.11
20150120_BU,680.0
20150120_C,170.0
20150120_CF,-6175.0
20150120_CS,820.0
20150120_CU,-5800.0
20150120_FG,330.0
20150120_HC,0.0
20150120_I,-700.0
20150120_J,-8500.0
20150120_JD,-50.0
20150120_JM,-1740.0
20150120_L,-1525.0
20150120_M,-3360.0
20150120_MA,1530.0
20150120_OI,-2600.0
20150120_PP,-8235.0
20150120_RB,-10.0
20150120_RM,-2400.0
20150120_RU,0.0
20150120_SR,21430.0
20150120_TA,20.0
20150120_YY,-4440.0
20150120_ZC,0.0
20150120_ZN,4300.0
20150120_p,-1880.0
20150121_A,3080.0
20150121_AG,685.0
20150121_AL,275.0
20150121_AU,-9850.02
20150121_BU,500.0
20150121_C,-40.0
20150121_CF,-4000.0
20150121_CS,-2050.0
20150121_CU,-11050.0
20150121_FG,-910.0
20150121_HC,-30.0
20150121_I,6350.0
20150121_J,4100.0
20150121_JD,1270.0
20150121_JM,60.0
20150121_L,1850.0
20150121_M,-390.0
20150121_MA,580.0
20150121_OI,-1100.0
20150121_PP,390.0
20150121_RB,-380.0
20150121_RM,1060.0
20150121_RU,16800.0
20150121_SR,-2750.0
20150121_TA,5120.0
20150121_YY,-2200.0
20150121_ZC,0.0
20150121_ZN,3350.0
20150121_p,660.0
20150122_A,3390.0
20150122_AG,-830.0
20150122_AL,1575.0
20150122_AU,-9299.92
20150122_BU,-40.0
20150122_C,60.0
20150122_CF,4525.0
20150122_CS,950.0
20150122_CU,-21850.0
20150122_FG,150.0
20150122_HC,100.0
20150122_I,2100.0
20150122_J,3600.0
20150122_JD,-1435.0
20150122_JM,1740.0
20150122_L,-2800.0
20150122_M,-1120.0
20150122_MA,-360.0
20150122_OI,-1240.0
20150122_PP,-7580.0
20150122_RB,-1230.0
20150122_RM,-2540.0
20150122_RU,-900.0
20150122_SR,2320.0
20150122_TA,-80.0
20150122_YY,3840.0
20150122_ZC,0.0
20150122_ZN,2400.0
20150122_p,3060.0
20150123_A,2370.0
20150123_AG,0.0
20150123_AL,-3650.0
20150123_AU,650.0
20150123_BU,3460.0
20150123_C,-300.0
20150123_CF,-1325.0
20150123_CS,-980.0
20150123_CU,36750.0
20150123_FG,340.0
20150123_HC,420.0
20150123_I,7800.0
20150123_J,18900.0
20150123_JD,540.0
20150123_JM,5220.0
20150123_L,2625.0
20150123_M,-1540.0
20150123_MA,-1460.0
20150123_OI,2140.0
20150123_PP,2410.0
20150123_RB,1280.0
20150123_RM,-1170.0
20150123_RU,-2350.0
20150123_SR,-180.0
20150123_TA,-5910.0
20150123_YY,6440.0
20150123_ZC,0.0
20150123_ZN,-6575.0
20150123_p,3120.0
20150126_A,-2890.0
20150126_AG,0.0
20150126_AL,-1350.0
20150126_AU,-3150.0
20150126_BU,2920.0
20150126_C,480.0
20150126_CF,-6425.0
20150126_CS,2660.0
20150126_CU,-28350.0
20150126_FG,330.0
20150126_HC,400.0
20150126_I,2100.0
20150126_J,-13000.0
20150126_JD,2445.0
20150126_JM,-4860.0
20150126_L,475.0
20150126_M,-2050.0
20150126_MA,-280.0
20150126_OI,-2760.0
20150126_PP,320.0
20150126_RB,1540.0
20150126_RM,-550.0
20150126_RU,-6000.0
20150126_SR,16010.0
20150126_TA,-210.0
20150126_YY,-1480.0
20150126_ZC,0.0
20150126_ZN,-6700.0
20150126_p,-120.0
20150127_A,280.0
20150127_AG,-350.0
20150127_AL,-2850.0
20150127_AU,-6750.01
20150127_BU,160.0
20150127_C,270.0
20150127_CF,150.0
20150127_CS,230.0
20150127_CU,-700.0
20150127_FG,1160.0
20150127_HC,-360.0
20150127_I,2100.0
20150127_J,4000.0
20150127_JD,-1790.0
20150127_JM,-3720.0
20150127_L,1200.0
20150127_M,-3080.0
20150127_MA,-850.0
20150127_OI,2620.0
