stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-10 00:00:00,,,-140.0,,,,,
2017-01-10 00:01:00,,,-140.0,,,0.0,,
2017-01-10 00:02:00,,,-140.0,,,0.0,,
2017-01-10 00:03:00,,,-140.0,,,0.0,,
2017-01-10 00:04:00,,,-140.0,,,0.0,,
2017-01-10 00:05:00,,,-140.0,,,0.0,,
2017-01-10 00:06:00,,,-140.0,,,0.0,,
2017-01-10 00:07:00,,,-140.0,,,0.0,,
2017-01-10 00:08:00,,,-140.0,,,0.0,,
2017-01-10 00:09:00,,,-140.0,,,0.0,,
2017-01-10 00:10:00,,,-140.0,,,0.0,,
2017-01-10 00:11:00,,,-140.0,,,0.0,,
2017-01-10 00:12:00,,,-140.0,,,0.0,,
2017-01-10 00:13:00,,,-140.0,,,0.0,,
2017-01-10 00:14:00,,,-140.0,,,0.0,,
2017-01-10 00:15:00,,,-140.0,,,0.0,,
2017-01-10 00:17:00,,,-140.0,,,0.0,,
2017-01-10 00:18:00,,,-140.0,,,0.0,,
2017-01-10 00:19:00,,,-140.0,,,0.0,,
2017-01-10 00:20:00,,,-140.0,,,0.0,,
2017-01-10 00:21:00,,,-140.0,,,0.0,,
2017-01-10 00:22:00,,,-140.0,,,0.0,,
2017-01-10 00:23:00,,,-140.0,,,0.0,,
2017-01-10 00:24:00,,,-140.0,,,0.0,,
2017-01-10 00:25:00,,,-140.0,,,0.0,,
2017-01-10 00:26:00,,,-140.0,,,0.0,,
2017-01-10 00:27:00,,,-140.0,,,0.0,,
2017-01-10 00:28:00,,,-140.0,,,0.0,,
2017-01-10 00:29:00,,,-140.0,,,0.0,,
2017-01-10 00:30:00,,,-140.0,,,0.0,,
2017-01-10 00:31:00,,,-140.0,,,0.0,,
2017-01-10 00:32:00,,,-140.0,,,0.0,,
2017-01-10 00:33:00,,,-140.0,,,0.0,,
2017-01-10 00:34:00,,,-140.0,,,0.0,,
2017-01-10 00:35:00,,,-140.0,,,0.0,,
2017-01-10 00:36:00,,,-140.0,,,0.0,,
2017-01-10 00:37:00,,,-140.0,,,0.0,,
2017-01-10 00:38:00,,,-140.0,,,0.0,,
2017-01-10 00:39:00,,,-140.0,,,0.0,,
2017-01-10 00:40:00,,,-140.0,,,0.0,,
2017-01-10 00:41:00,,,-140.0,,,0.0,,
2017-01-10 00:42:00,,,-140.0,,,0.0,,
2017-01-10 00:43:00,,,-140.0,,,0.0,,
2017-01-10 00:44:00,,,-140.0,,,0.0,,
2017-01-10 00:45:00,,,-140.0,,,0.0,,
2017-01-10 00:47:00,,,-140.0,,,0.0,,
2017-01-10 00:48:00,,,-140.0,,,0.0,,
2017-01-10 00:49:00,,,-140.0,,,0.0,,
2017-01-10 00:50:00,,,-140.0,,,0.0,,
2017-01-10 00:51:00,,,-140.0,,,0.0,,
2017-01-10 00:52:00,,,-140.0,,,0.0,,
2017-01-10 00:53:00,,,-140.0,,,0.0,,
2017-01-10 00:54:00,,,-140.0,,,0.0,,
2017-01-10 00:55:00,,,-140.0,,,0.0,,
2017-01-10 00:56:00,,,-140.0,,,0.0,,
2017-01-10 00:57:00,,,-140.0,,,0.0,,
2017-01-10 00:58:00,,,-140.0,,,0.0,,
2017-01-10 00:59:00,,,-140.0,,,0.0,,
2017-01-10 01:00:00,,,-140.0,,,0.0,,
2017-01-10 01:01:00,,,-140.0,,,0.0,,
2017-01-10 01:02:00,,,-140.0,,,0.0,,
2017-01-10 01:03:00,,,-140.0,,,0.0,,
2017-01-10 01:04:00,,,-140.0,,,0.0,,
