stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-30 14:59:00,2729.0,,0.0,,,,,
2017-01-03 14:59:00,2665.0,2667.0,0.0,-0.0,,0.0,-0.0,
2017-01-03 14:59:00,2665.0,2667.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04 14:59:00,2667.0,2670.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04 14:59:00,2667.0,2670.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 14:59:00,2658.0,2661.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-05 14:59:00,2658.0,2661.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 14:59:00,2642.0,2646.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 14:59:00,2711.0,2716.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10 09:54:00,2658.0,2663.0,-419.0,-0.0,-0.0,4190.0,-4190.0,-4190.0
2017-01-10 09:57:00,2658.0,2663.0,-837.0,-0.0,-0.0,4180.0,-4180.0,-4180.0
2017-01-10 10:06:00,2652.0,2657.0,-1256.0,50220.0,50220.0,4190.0,46030.0,46030.0
2017-01-10 10:10:00,2652.0,2658.0,-1675.0,-0.0,-12560.0,4190.0,-4190.0,-16750.0
2017-01-10 10:11:00,2657.0,2662.0,-1256.0,-83750.0,-67000.0,4190.0,-87940.0,-71190.0
2017-01-10 10:12:00,2661.0,2666.0,-1675.0,-50240.0,-50240.0,4190.0,-54430.0,-54430.0
2017-01-10 10:13:00,2660.0,2665.0,-1256.0,16750.0,16750.0,4190.0,12560.0,12560.0
2017-01-10 10:31:00,2660.0,2665.0,-3349.0,-0.0,-0.0,20930.0,-20930.0,-20930.0
2017-01-10 10:32:00,2656.0,2661.0,-3768.0,133960.0,133960.0,4190.0,129770.0,129770.0
2017-01-10 10:53:00,2656.0,2661.0,-4187.0,-0.0,-0.0,4190.0,-4190.0,-4190.0
2017-01-10 10:54:00,2656.0,2661.0,-3768.0,-0.0,-0.0,4190.0,-4190.0,-4190.0
2017-01-10 11:13:00,2669.0,2673.0,-4187.0,-489840.0,-452160.0,4190.0,-494030.0,-456350.0
2017-01-10 13:31:00,2688.0,2693.0,-1675.0,-795530.0,-837400.0,25120.0,-820650.0,-862520.0
2017-01-10 13:36:00,2685.0,2691.0,-837.0,50250.0,33500.0,8380.0,41870.0,25120.0
2017-01-10 13:37:00,2687.0,2693.0,0.0,-16740.0,-16740.0,8370.0,-25110.0,-25110.0
2017-01-10 13:38:00,2687.0,2692.0,837.0,0.0,-0.0,8370.0,-8370.0,-8370.0
2017-01-10 13:39:00,2687.0,2692.0,0.0,0.0,0.0,8370.0,-8370.0,-8370.0
2017-01-10 13:46:00,2698.0,2703.0,2931.0,0.0,0.0,29310.0,-29310.0,-29310.0
2017-01-10 13:54:00,2700.0,2705.0,3349.0,58620.0,58620.0,4180.0,54440.0,54440.0
2017-01-10 13:55:00,2699.0,2705.0,2931.0,-33490.0,0.0,4180.0,-37670.0,-4180.0
2017-01-10 13:57:00,2694.0,2699.0,3349.0,-146550.0,-175860.0,4180.0,-150730.0,-180040.0
2017-01-10 14:31:00,2698.0,2704.0,4187.0,133960.0,167450.0,8380.0,125580.0,159070.0
2017-01-10 14:59:00,2708.0,2713.0,4187.0,418700.0,376830.0,0.0,418700.0,376830.0
2017-01-11 10:40:00,2697.0,2704.0,3349.0,-460570.0,-376830.0,8380.0,-468950.0,-385210.0
2017-01-11 14:38:00,2680.0,2685.0,2093.0,-569330.0,-636310.0,12560.0,-581890.0,-648870.0
2017-01-11 14:39:00,2682.0,2687.0,2512.0,41860.0,41860.0,4190.0,37670.0,37670.0
2017-01-11 14:42:00,2680.0,2685.0,1675.0,-50240.0,-50240.0,8370.0,-58610.0,-58610.0
2017-01-11 14:48:00,2677.0,2682.0,837.0,-50250.0,-50250.0,8380.0,-58630.0,-58630.0
2017-01-11 14:49:00,2673.0,2678.0,419.0,-33480.0,-33480.0,4180.0,-37660.0,-37660.0
2017-01-11 14:51:00,2676.0,2681.0,-1256.0,12570.0,12570.0,16750.0,-4180.0,-4180.0
2017-01-11 14:59:00,2684.0,2690.0,-1256.0,-100480.0,-113040.0,0.0,-100480.0,-113040.0
2017-01-12 09:12:00,2739.0,2746.0,-837.0,-690800.0,-703360.0,4190.0,-694990.0,-707550.0
