,index,0_zhishu,0_ZL,dist
0,A,-89090.0,-92200.0,-3110.0
1,AG,-104830.0,-102355.0,2475.0
2,AL,133750.0,109800.0,-23950.0
3,AU,-6300.0,550.0,6850.0
4,bu,188160.0,277560.0,89400.0
5,c,105700.0,117690.0,11990.0
6,CF,-63200.0,-65775.0,-2575.0
7,cs,-23040.0,-24490.0,-1450.0
8,CU,215150.0,214400.0,-750.0
9,FG,90120.0,81720.0,-8400.0
10,hc,315120.0,327130.0,12010.0
11,I,615025.0,657325.0,42300.0
12,J,228600.0,175700.0,-52900.0
13,jd,-110690.0,-112230.0,-1540.0
14,JM,104250.0,78300.0,-25950.0
15,L,-8550.0,-15900.0,-7350.0
16,M,-19800.0,-87900.0,-68100.0
17,MA,170150.0,145440.0,-24710.0
18,NI,151870.0,145970.0,-5900.0
19,OI,140420.0,158580.0,18160.0
20,P,-122560.0,-152300.0,-29740.0
21,pp,90295.0,87080.0,-3215.0
22,RB,273220.0,270380.0,-2840.0
23,RM,-85630.0,-71360.0,14270.0
24,RU,126900.0,114350.0,-12550.0
25,SR,-183040.0,-182650.0,390.0
26,TA,-8490.0,-9940.0,-1450.0
27,YY,6080.0,9520.0,3440.0
28,ZC,80300.0,59460.0,-20840.0
29,ZN,231725.0,235125.0,3400.0
