day,Col_sum,Col_sum_zl
20161011,74330.0,77705.0
20161012,45485.0,50290.0
20161013,-23090.0,-23990.0
20161014,36005.0,36970.0
20161017,-33785.0,-38885.0
20161018,29325.0,37940.0
20161019,-18010.0,-18525.0
20161020,79215.0,76800.0
20161021,-38030.0,-33750.0
20161024,51360.0,52980.0
20161025,93380.0,84540.0
20161026,13775.0,17220.0
20161027,-27150.0,-22910.0
20161028,53905.0,48640.0
20161031,72155.0,66535.0
20161101,-80360.0,-83585.0
20161102,36670.0,31890.0
20161103,-9355.0,-13310.0
20161104,1380.0,1485.0
20161107,114285.0,118835.0
20161108,43780.0,51420.0
20161109,-35970.0,-38340.0
20161110,164305.0,179335.0
20161111,125870.0,107600.0
20161114,-302795.0,-302150.0
20161115,-20470.0,-8670.0
20161116,-77390.0,-86020.0
20161117,2105.0,-565.0
20161118,-23280.0,-27210.0
20161121,-275.0,-6360.0
20161122,71295.0,66920.0
20161123,-21815.0,-43815.0
20161124,33055.0,10630.0
20161125,49440.0,62675.0
20161128,55890.0,47685.0
20161129,-83350.0,-100725.0
20161130,51395.0,7265.0
20161201,-104505.0,-111375.0
20161202,63715.0,63125.0
20161205,46785.0,48600.0
20161206,17095.0,12795.0
20161207,70945.0,71780.0
20161208,-49855.0,-55470.0
20161209,33100.0,22265.0
20161212,-106230.0,-118005.0
20161213,-14055.0,-19470.0
20161214,34175.0,37400.0
20161215,-119045.0,-123465.0
20161216,-40980.0,-6405.0
20161219,114920.0,231630.0
20161220,260755.0,263585.0
20161221,-47560.0,-55000.0
20161222,226250.0,227750.0
20161223,15695.0,6835.0
20161226,254155.0,256695.0
20161227,-117780.0,-124395.0
20161228,-4950.0,-5705.0
20161229,6005.0,4640.0
20161230,2625.0,825.0
20170103,-12545.0,-12645.0
20170104,-23590.0,-27060.0
20170105,-6090.0,-6445.0
20170106,30310.0,32265.0
20170109,44730.0,42745.0
20170110,99525.0,96880.0
20170111,43725.0,43510.0
20170112,-10860.0,-10985.0
20170113,22010.0,19930.0
20170116,137095.0,134955.0
20170117,-69760.0,-72220.0
20170118,14160.0,15120.0
20170119,4025.0,-115.0
20170120,-11615.0,-17015.0
20170123,39670.0,39895.0
20170124,-42610.0,-47955.0
20170125,-10810.0,-13450.0
20170126,68175.0,64830.0
20170203,-99730.0,-98055.0
20170206,74280.0,70570.0
20170207,-68135.0,-73925.0
20170208,-25225.0,-33395.0
20170209,-94565.0,-97350.0
20170210,35235.0,32795.0
20170213,156520.0,154365.0
20170214,56155.0,62110.0
20170215,-165105.0,-167025.0
