,index,0_zhishu,0_ZL,dist
0,A,-28750.0,-47810.0,-19060.0
1,AG,-18860.0,-1820.0,17040.0
2,AL,60325.0,57350.0,-2975.0
3,AU,950.0,-3600.0,-4550.0
4,bu,201760.0,205400.0,3640.0
5,c,126070.0,157850.0,31780.0
6,CF,-139400.0,-158025.0,-18625.0
7,cs,-34520.0,-64950.0,-30430.0
8,CU,113100.0,114350.0,1250.0
9,FG,-22720.0,-36500.0,-13780.0
10,hc,212270.0,232050.0,19780.0
11,I,143450.0,113350.0,-30100.0
12,J,65100.0,21650.0,-43450.0
13,jd,-183635.0,-194340.0,-10705.0
14,JM,238560.0,240810.0,2250.0
15,L,-27425.0,-14850.0,12575.0
16,M,30170.0,48290.0,18120.0
17,MA,-38980.0,-54570.0,-15590.0
18,NI,102330.0,113070.0,10740.0
19,OI,-89640.0,-90840.0,-1200.0
20,P,-28020.0,-41900.0,-13880.0
21,pp,-120955.0,-121115.0,-160.0
22,RB,142340.0,142380.0,40.0
23,RM,49890.0,45840.0,-4050.0
24,RU,52100.0,42700.0,-9400.0
25,SR,-206310.0,-214690.0,-8380.0
26,TA,-13230.0,-21070.0,-7840.0
27,YY,-165420.0,-176920.0,-11500.0
28,ZC,45680.0,99840.0,54160.0
29,ZN,113500.0,112275.0,-1225.0
